Check the telescope 0
xid = 0, yid = 0, angle = 26.2303, solidangle = 7.90505e-323
xid = 0, yid = 1, angle = 24.6138, solidangle = 7.90505e-323
xid = 0, yid = 2, angle = 24.0654, solidangle = 7.90505e-323
xid = 0, yid = 3, angle = 24.1537, solidangle = 7.90505e-323
xid = 0, yid = 4, angle = 25.5131, solidangle = 7.90505e-323
xid = 0, yid = 5, angle = 22.0563, solidangle = 7.90505e-323
xid = 0, yid = 6, angle = 22.4847, solidangle = 7.90505e-323
xid = 0, yid = 7, angle = 21.0994, solidangle = 7.90505e-323
xid = 0, yid = 8, angle = 25.5052, solidangle = 7.90505e-323
xid = 0, yid = 9, angle = 22.6928, solidangle = 7.90505e-323
xid = 0, yid = 10, angle = 22.2629, solidangle = 7.90505e-323
xid = 0, yid = 11, angle = 23.775, solidangle = 7.90505e-323
xid = 0, yid = 12, angle = 25.5334, solidangle = 7.90505e-323
xid = 0, yid = 13, angle = 25.4081, solidangle = 7.90505e-323
xid = 0, yid = 14, angle = 26.0888, solidangle = 7.90505e-323
xid = 0, yid = 15, angle = 24.5596, solidangle = 7.90505e-323
xid = 1, yid = 0, angle = 23.309, solidangle = 7.90505e-323
xid = 1, yid = 1, angle = 22.6943, solidangle = 7.90505e-323
xid = 1, yid = 2, angle = 23.6472, solidangle = 7.90505e-323
xid = 1, yid = 3, angle = 24.55, solidangle = 7.90505e-323
xid = 1, yid = 4, angle = 22.7072, solidangle = 7.90505e-323
xid = 1, yid = 5, angle = 21.0862, solidangle = 7.90505e-323
xid = 1, yid = 6, angle = 22.9718, solidangle = 7.90505e-323
xid = 1, yid = 7, angle = 22.8419, solidangle = 7.90505e-323
xid = 1, yid = 8, angle = 23.3863, solidangle = 7.90505e-323
xid = 1, yid = 9, angle = 22.8382, solidangle = 7.90505e-323
xid = 1, yid = 10, angle = 23.7657, solidangle = 7.90505e-323
xid = 1, yid = 11, angle = 22.621, solidangle = 7.90505e-323
xid = 1, yid = 12, angle = 20.6282, solidangle = 7.90505e-323
xid = 1, yid = 13, angle = 23.6384, solidangle = 7.90505e-323
xid = 1, yid = 14, angle = 23.5142, solidangle = 7.90505e-323
xid = 1, yid = 15, angle = 25.4534, solidangle = 7.90505e-323
