# prm/ssd/tel5/ch2MeV_dEX.dat is created from AlphaCalibration.C
# offset gain
0.250215 0.00164205
0.231843 0.00164329
0.227373 0.0016371
0.216106 0.0016641
0.221387 0.00165122
0.211757 0.00165228
0.200907 0.00166377
0.202027 0.00161188
0.177932 0.00166583
0.170257 0.00166514
0.169103 0.00166706
0.188131 0.00163629
0.179857 0.00166006
0.173686 0.00167676
0.167341 0.00164361
0.193868 0.00165979
#beam calibration
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
#-0.0884 0.0018
